ITEM: TIMESTEP
954500
ITEM: NUMBER OF CELLS
2500
ITEM: BOX BOUNDS ss ss pp
-0.5 0.5
-0.5 0.5
-0.5 0.5
ITEM: CELLS xc yc f_U[*] f_V[*] f_Tau[1] f_Tau[2] f_Tau[3] f_Press[*] f_Mrho[*] f_Ttra[*] 
-0.49 -0.49 -0.0175486 0.00145159 0.0973751 0.0974142 -3.1482e-05 0.0973723 1.71208e-06 273.112 
-0.47 -0.49 -0.0104449 0.0125995 0.0973883 0.0974459 -1.49555e-05 0.0974594 1.71415e-06 273.027 
-0.45 -0.49 0.017514 -0.0641382 0.0973918 0.0973231 -2.61396e-05 0.0974476 1.71354e-06 273.091 
-0.49 -0.47 0.0427327 -0.0598292 0.0972995 0.0973736 -3.84649e-05 0.0972992 1.71223e-06 272.884 
-0.43 -0.49 0.00331511 0.0506338 0.0974601 0.0974129 2.25563e-05 0.0974145 1.71382e-06 272.954 
-0.47 -0.47 0.073277 0.0829089 0.0973305 0.097366 4.56637e-05 0.097342 1.7127e-06 272.929 
-0.41 -0.49 -0.0538501 -0.0015598 0.0974333 0.0973982 9.24948e-05 0.097437 1.71492e-06 272.842 
-0.45 -0.47 -0.118105 0.114345 0.0973053 0.0973884 -1.1251e-06 0.09739 1.71335e-06 272.96 
-0.49 -0.45 -0.00996463 -0.0796809 0.0973561 0.097341 -2.98907e-06 0.0972876 1.71137e-06 272.988 
-0.39 -0.49 -0.116581 0.0275661 0.0974173 0.0973229 7.55772e-05 0.0974493 1.71489e-06 272.88 
-0.43 -0.47 -0.133066 0.015922 0.0972335 0.0972956 5.8535e-05 0.0972788 1.71144e-06 272.952 
-0.47 -0.45 0.0776431 -0.0621304 0.09726 0.0973586 -4.77647e-05 0.0972936 1.71068e-06 273.115 
-0.37 -0.49 -0.229928 0.0341459 0.0974239 0.0973212 0.00012787 0.0974227 1.71397e-06 272.952 
-0.41 -0.47 -0.301321 0.121372 0.0973817 0.0974263 2.71964e-05 0.0974367 1.71416e-06 272.962 
-0.45 -0.45 0.12667 0.339304 0.0973762 0.097286 7.58527e-05 0.0973449 1.71302e-06 272.886 
